OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251,1993-036A,2026-08-16T23:26:02.352768,14.33265073,.00259206,74.0370,224.1303,249.6331,110.2036,0,U,22675,999,73315,.19705121E-4,.28E-6,0
COSMOS 2251 DEB,1993-036E,2026-08-16T11:18:22.780800,14.32633701,.00150469,74.0340,233.1730,195.4799,279.1183,0,U,33757,999,91529,.16497633E-4,.19E-6,0
COSMOS 2251 DEB,1993-036F,2026-08-16T16:24:12.977856,14.53077974,.0016166,74.0262,109.2381,122.0103,308.6047,0,U,33758,999,91890,.34852094E-3,.1415E-4,0
COSMOS 2251 DEB,1993-036H,2026-08-16T08:58:14.287008,14.35802623,.00214804,74.0313,188.7591,232.8040,250.5239,0,U,33760,999,91664,.44904756E-4,.104E-5,0
COSMOS 2251 DEB,1993-036J,2026-08-16T05:06:58.338144,14.43141599,.00231503,74.0362,154.6053,181.7389,335.4709,0,U,33761,999,91789,.17437244E-3,.561E-5,0
COSMOS 2251 DEB,1993-036K,2026-08-16T09:27:51.984288,14.33727744,.00161287,74.0393,219.0612,227.8095,283.6751,0,U,33762,999,91582,.16424082E-4,.19E-6,0
COSMOS 2251 DEB,1993-036M,2026-08-16T14:02:58.591104,14.39938943,.00205774,74.0334,176.6593,80.5474,93.8387,0,U,33764,999,91709,.13604528E-3,.403E-5,0
COSMOS 2251 DEB,1993-036N,2026-08-16T19:15:22.895712,15.28082670,.00466696,74.0010,14.8286,40.9825,319.4868,0,U,33765,999,93370,.13892923E-2,.3947E-3,0
COSMOS 2251 DEB,1993-036P,2026-08-16T14:34:43.735296,14.35626416,.006303,74.1852,46.3840,179.6549,180.4660,0,U,33766,999,91287,.26481399E-3,.756E-5,0
COSMOS 2251 DEB,1993-036R,2026-08-16T07:28:31.997280,13.58635588,.03677132,74.0689,181.8219,284.8606,230.7987,0,U,33768,999,86644,.42355655E-4,.24E-6,0
