OBJECT_NAME,NORAD_CAT_ID,MEAN_MOTION,ECCENTRICITY,INCLINATION,TLE_LINE1,TLE_LINE2
DEMO-DEBRIS-60001,60001,15.06,0.0001,53.05,1 60001U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60001  53.0500 000.0000 0001000  90.0000 270.0050 15.0600000012345
DEMO-DEBRIS-60002,60002,15.06,0.0001,53.05,1 60002U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60002  53.0500 000.0000 0001000  90.0000 270.0100 15.0600000012345
DEMO-DEBRIS-60002,60002,15.06,0.0001,53.05,1 60002U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60002  53.0500 007.2000 0001000  90.0000 270.0050 15.0600000012345
DEMO-DEBRIS-60003,60003,15.06,0.0001,53.05,1 60003U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60003  53.0500 007.2000 0001000  90.0000 270.0100 15.0600000012345
DEMO-DEBRIS-60003,60003,15.06,0.0001,53.05,1 60003U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60003  53.0500 014.4000 0001000  90.0000 270.0050 15.0600000012345
DEMO-DEBRIS-60004,60004,15.06,0.0001,53.05,1 60004U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60004  53.0500 014.4000 0001000  90.0000 270.0100 15.0600000012345
DEMO-DEBRIS-60004,60004,15.06,0.0001,53.05,1 60004U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60004  53.0500 021.6000 0001000  90.0000 270.0050 15.0600000012345
DEMO-DEBRIS-60005,60005,15.06,0.0001,53.05,1 60005U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60005  53.0500 021.6000 0001000  90.0000 270.0100 15.0600000012345
DEMO-DEBRIS-60005,60005,15.06,0.0001,53.05,1 60005U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60005  53.0500 028.8000 0001000  90.0000 270.0050 15.0600000012345
DEMO-DEBRIS-60006,60006,15.06,0.0001,53.05,1 60006U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60006  53.0500 028.8000 0001000  90.0000 270.0100 15.0600000012345
DEMO-DEBRIS-60006,60006,15.06,0.0001,53.05,1 60006U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60006  53.0500 036.0000 0001000  90.0000 270.0050 15.0600000012345
DEMO-DEBRIS-60007,60007,15.06,0.0001,53.05,1 60007U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60007  53.0500 036.0000 0001000  90.0000 270.0100 15.0600000012345
DEMO-DEBRIS-60007,60007,15.06,0.0001,53.05,1 60007U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60007  53.0500 043.2000 0001000  90.0000 270.0050 15.0600000012345
DEMO-DEBRIS-60008,60008,15.06,0.0001,53.05,1 60008U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60008  53.0500 043.2000 0001000  90.0000 270.0100 15.0600000012345
DEMO-DEBRIS-60008,60008,15.06,0.0001,53.05,1 60008U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60008  53.0500 050.4000 0001000  90.0000 270.0050 15.0600000012345
DEMO-DEBRIS-60009,60009,15.06,0.0001,53.05,1 60009U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60009  53.0500 050.4000 0001000  90.0000 270.0100 15.0600000012345
DEMO-DEBRIS-60009,60009,15.06,0.0001,53.05,1 60009U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60009  53.0500 057.6000 0001000  90.0000 270.0050 15.0600000012345
DEMO-DEBRIS-60010,60010,15.06,0.0001,53.05,1 60010U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60010  53.0500 057.6000 0001000  90.0000 270.0100 15.0600000012345
DEMO-DEBRIS-60010,60010,15.06,0.0001,53.05,1 60010U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60010  53.0500 064.8000 0001000  90.0000 270.0050 15.0600000012345
DEMO-DEBRIS-60011,60011,15.06,0.0001,53.05,1 60011U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60011  53.0500 064.8000 0001000  90.0000 270.0100 15.0600000012345
DEMO-DEBRIS-60011,60011,15.06,0.0001,53.05,1 60011U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60011  53.0500 072.0000 0001000  90.0000 270.0050 15.0600000012345
DEMO-DEBRIS-60012,60012,15.06,0.0001,53.05,1 60012U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60012  53.0500 072.0000 0001000  90.0000 270.0100 15.0600000012345
DEMO-DEBRIS-60012,60012,15.06,0.0001,53.05,1 60012U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60012  53.0500 079.2000 0001000  90.0000 270.0050 15.0600000012345
DEMO-DEBRIS-60013,60013,15.06,0.0001,53.05,1 60013U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60013  53.0500 079.2000 0001000  90.0000 270.0100 15.0600000012345
DEMO-DEBRIS-60013,60013,15.06,0.0001,53.05,1 60013U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60013  53.0500 086.4000 0001000  90.0000 270.0050 15.0600000012345
DEMO-DEBRIS-60014,60014,15.06,0.0001,53.05,1 60014U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 60014  53.0500 086.4000 0001000  90.0000 270.0100 15.0600000012345
