OBJECT_NAME,NORAD_CAT_ID,MEAN_MOTION,ECCENTRICITY,INCLINATION,TLE_LINE1,TLE_LINE2
DEMO-STARLINK-50001,50001,15.06,0.0001,53.05,1 50001U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50001  53.0500 000.0000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50002,50002,15.06,0.0001,53.05,1 50002U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50002  53.0500 007.2000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50003,50003,15.06,0.0001,53.05,1 50003U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50003  53.0500 014.4000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50004,50004,15.06,0.0001,53.05,1 50004U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50004  53.0500 021.6000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50005,50005,15.06,0.0001,53.05,1 50005U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50005  53.0500 028.8000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50006,50006,15.06,0.0001,53.05,1 50006U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50006  53.0500 036.0000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50007,50007,15.06,0.0001,53.05,1 50007U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50007  53.0500 043.2000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50008,50008,15.06,0.0001,53.05,1 50008U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50008  53.0500 050.4000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50009,50009,15.06,0.0001,53.05,1 50009U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50009  53.0500 057.6000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50010,50010,15.06,0.0001,53.05,1 50010U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50010  53.0500 064.8000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50011,50011,15.06,0.0001,53.05,1 50011U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50011  53.0500 072.0000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50012,50012,15.06,0.0001,53.05,1 50012U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50012  53.0500 079.2000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50013,50013,15.06,0.0001,53.05,1 50013U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50013  53.0500 086.4000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50014,50014,15.06,0.0001,53.05,1 50014U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50014  53.0500 093.6000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50015,50015,15.06,0.0001,53.05,1 50015U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50015  53.0500 100.8000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50016,50016,15.06,0.0001,53.05,1 50016U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50016  53.0500 108.0000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50017,50017,15.06,0.0001,53.05,1 50017U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50017  53.0500 115.2000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50018,50018,15.06,0.0001,53.05,1 50018U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50018  53.0500 122.4000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50019,50019,15.06,0.0001,53.05,1 50019U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50019  53.0500 129.6000 0001000  90.0000 270.0000 15.0600000012345
