OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C,1999-025A,2026-08-16T22:49:13.959264,14.27152028,.00139527,98.8617,303.2773,86.9403,273.3373,0,U,25730,999,40662,.48530223E-3,.114E-4,0
FENGYUN 1C DEB,1999-025X,2026-08-16T12:53:17.879136,12.96875988,.05649065,99.2061,251.9753,352.2358,161.2341,0,U,29733,999,92318,.10339234E-2,.585E-5,0
FENGYUN 1C DEB,1999-025Y,2026-08-16T15:44:33.310176,12.91995020,.06046228,99.1674,123.2982,164.9314,258.3681,0,U,29734,999,91736,.21228049E-2,.1268E-4,0
FENGYUN 1C DEB,1999-025Z,2026-08-16T15:39:09.668736,12.75883368,.0705348,99.3848,107.5766,347.9566,10.5399,0,U,29735,999,90563,.61237887E-3,.335E-5,0
FENGYUN 1C DEB,1999-025AA,2026-08-16T07:35:13.272576,12.57759152,.07244373,99.4359,5.8533,29.5749,0.0191,0,U,29736,999,89644,-.35749444E-3,-.194E-5,0
FENGYUN 1C DEB,1999-025AB,2026-08-16T17:08:09.827232,12.66315638,.07013553,99.5762,148.2788,324.3182,57.7353,0,U,29737,999,89994,-.76570644E-3,-.421E-5,0
FENGYUN 1C DEB,1999-025AC,2026-08-16T19:38:40.653312,12.62469705,.08550761,99.4190,356.1720,117.3247,251.7500,0,U,29738,999,89333,.46853628E-3,.329E-5,0
FENGYUN 1C DEB,1999-025AE,2026-08-16T08:55:05.569536,12.08716662,.09742051,99.0661,14.7969,66.5862,303.4554,0,U,29740,999,85914,-.17164494E-2,-.686E-5,0
FENGYUN 1C DEB,1999-025AF,2026-08-16T10:49:10.390080,12.01672002,.10242293,99.1870,37.9396,299.2834,75.2207,0,U,29741,999,55146,.15334935E-2,.577E-5,0
FENGYUN 1C DEB,1999-025AN,2026-08-16T08:50:12.511104,11.93172773,.07063281,100.0079,102.1672,287.6392,64.8767,0,U,29748,999,81671,-.52077774E-1,-.7869E-4,0
FENGYUN 1C DEB,1999-025AQ,2026-08-16T15:06:08.316288,14.09843911,.00350956,98.7318,255.6682,323.7145,159.6199,0,U,29750,999,540,.89257934E-4,.115E-5,0
