OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33,1997-051C,2026-08-16T17:48:18.933984,14.35168931,.00098013,86.3913,324.5475,120.8946,239.3215,0,U,24946,999,51377,.40564474E-4,.136E-5,0
IRIDIUM 33 DEB,1997-051L,2026-08-16T16:45:03.157344,14.43731010,.00129419,86.4039,315.9231,63.2576,296.9948,0,U,33773,999,91910,.12256257E-3,.437E-5,0
IRIDIUM 33 DEB,1997-051N,2026-08-16T17:13:27.893280,14.42147949,.00148075,86.3638,304.0715,73.2024,54.6476,0,U,33775,999,91699,.17570886E-3,.599E-5,0
IRIDIUM 33 DEB,1997-051P,2026-08-16T18:36:32.235840,14.38604444,.00166468,86.4088,337.0007,105.6310,56.2360,0,U,33776,999,91633,.11794563E-3,.381E-5,0
IRIDIUM 33 DEB,1997-051Q,2026-08-16T21:19:54.009984,14.57194605,.00085544,86.3760,287.5637,131.3261,228.8685,0,U,33777,999,92131,.38329817E-3,.1752E-4,0
IRIDIUM 33 DEB,1997-051T,2026-08-16T21:22:11.440416,14.42792932,.00139912,86.3384,283.8611,77.4551,97.2313,0,U,33850,999,91715,.27387376E-3,.934E-5,0
IRIDIUM 33 DEB,1997-051W,2026-08-16T12:21:19.708416,13.99935594,.02082227,85.9958,241.4957,198.4982,317.1205,0,U,33853,999,88797,.25333076E-3,.467E-5,0
IRIDIUM 33 DEB,1997-051AD,2026-08-16T21:20:14.073792,14.70772856,.00083037,86.3784,277.4893,186.0028,347.7103,0,U,33860,999,92351,.47185315E-3,.2903E-4,0
IRIDIUM 33 DEB,1997-051AF,2026-08-16T22:31:17.702976,14.73945502,.00450381,86.4067,288.0551,290.3194,244.7715,0,U,33862,999,92460,.19979992E-3,.1357E-4,0
IRIDIUM 33 DEB,1997-051AK,2026-08-16T19:17:54.710016,14.26670007,.01143897,86.3052,348.3892,88.1191,72.8758,0,U,33866,999,90331,.88659866E-3,.2316E-4,0
