OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2026-08-16T17:30:57.150432,15.60369711,.00060117,53.1486,136.7460,57.6967,302.4628,0,U,44714,999,37363,.74893929E-3,.62535E-3,0
STARLINK-1012,2019-074F,2026-08-16T22:02:13.662816,15.60729965,.00023032,53.1507,136.1254,93.4797,266.6480,0,U,44718,999,37365,.62473042E-3,.5271E-3,0
STARLINK-1017,2019-074L,2026-08-16T04:41:04.292448,15.36540851,.0000983,53.0443,148.1963,106.4050,253.7060,0,U,44723,999,37339,.81457852E-3,.29205E-3,0
STARLINK-1020,2019-074N,2026-08-16T04:35:29.036256,15.64416578,.00057994,53.1513,161.0455,52.7685,307.3859,0,U,44725,999,37322,.58799105E-3,.57371E-3,0
STARLINK-1036,2019-074AE,2026-08-16T23:08:23.312544,15.82631700,.00050052,53.0388,116.7008,122.8372,237.3133,0,U,44741,999,37389,.38143155E-3,.81822E-3,0
STARLINK-1039,2019-074AH,2026-08-16T07:08:58.401024,15.33114639,.00028039,53.0581,194.7009,21.3485,338.7632,0,U,44744,999,37275,.63836579E-3,.20396E-3,0
STARLINK-1042,2019-074AL,2026-08-16T16:34:40.337760,15.58301335,.00009099,53.0411,42.5549,308.2886,51.8043,0,U,44747,999,37494,.62275052E-3,.47846E-3,0
STARLINK-1043,2019-074AM,2026-08-16T01:13:04.405152,15.69905525,.00038173,53.0466,136.7470,93.3217,266.8236,0,U,44748,999,37354,.3341624E-3,.40436E-3,0
STARLINK-1046,2019-074AQ,2026-08-16T19:08:34.446624,15.67940270,.00016295,53.0437,157.6988,104.1765,255.9432,0,U,44751,999,37331,.32498468E-3,.36196E-3,0
STARLINK-1047,2019-074AR,2026-08-16T23:31:15.779136,15.37514667,.00014407,53.0666,115.0071,32.4440,327.6651,0,U,44752,999,37395,.18119032E-3,.6382E-4,0
STARLINK-1048,2019-074AS,2026-08-16T09:07:58.758816,15.74656186,.00010755,53.0410,104.5097,252.6167,107.4734,0,U,44753,999,37401,.35443773E-3,.52673E-3,0
STARLINK-1063,2019-074BH,2026-08-16T21:58:10.560000,15.57080169,.00059712,53.1507,177.4002,56.4880,303.6702,0,U,44768,999,37309,.7393751E-3,.54413E-3,0
STARLINK-1067,2019-074BL,2026-08-17T00:00:02.000160,15.93799191,.00043737,53.0353,126.3628,109.7333,303.7272,0,U,44771,999,597,.46119027E-3,.169069E-2,.22061621E-4
STARLINK-1068,2019-074BM,2026-08-16T22:21:54.279072,15.88589366,.00037386,53.0345,101.8258,121.8091,238.3298,0,U,44772,999,37409,.41356703E-3,.119089E-2,0
STARLINK-1114,2020-001P,2026-08-16T21:35:15.106560,15.77566962,.00063415,53.0368,263.6366,21.7976,338.3312,0,U,44927,999,36517,.35610848E-3,.60333E-3,0
STARLINK-1123,2020-001S,2026-08-16T15:53:34.020384,15.66594897,.00013692,53.1382,297.4808,173.0137,187.0899,0,U,44930,999,36470,.28567906E-3,.30015E-3,0
STARLINK-1094,2020-001AD,2026-08-16T22:21:42.897600,15.63955110,.00025296,53.1464,273.3309,342.5164,17.5764,0,U,44941,999,36507,.63878254E-3,.61233E-3,0
